StudentID,Branch,Gender,StudyHours,AttendancePercent,Marks
S001,Civil,Male,6.1,96.3,86.6
S002,Mechanical,Female,4.4,82.0,64.9
S003,EEE,Female,5.8,82.3,76.6
S004,Civil,Male,3.8,82.3,64.5
S005,CSE,Female,4.3,84.0,91.3
S006,EEE,Female,4.3,89.7,69.4
S007,Civil,Male,2.8,82.6,70.1
S008,Civil,Male,5.9,89.5,79.9
S009,CSE,Female,4.2,89.9,82.8
S010,Mechanical,Male,5.0,79.1,80.8
S011,CSE,Male,5.9,84.5,84.4
S012,EEE,Male,5.8,82.8,84.1
S013,Mechanical,Female,6.2,86.7,83.2
S014,Civil,Female,4.8,77.5,79.4
S015,Mechanical,Female,4.2,85.8,70.5
S016,CSE,Female,4.9,83.6,68.6
S017,Mechanical,Male,2.0,68.6,43.4
S018,CSE,Female,2.4,72.1,58.8
S019,Civil,Male,2.6,79.4,73.7
S020,Mechanical,Male,3.2,83.8,67.8
S021,Civil,Female,5.7,97.1,87.1
S022,CSE,Male,3.4,94.8,73.5
S023,EEE,Female,4.3,85.0,85.0
S024,EEE,Female,7.3,87.0,98.0
S025,Civil,Female,4.4,72.5,68.3
S026,CSE,Female,6.3,90.2,99.0
S027,Mechanical,Female,3.3,75.8,68.3
S028,CSE,Male,4.6,81.7,88.0
S029,CSE,Male,3.3,76.8,66.6
S030,Civil,Male,4.4,82.5,64.8
S031,Civil,Male,6.5,94.8,82.0
S032,EEE,Male,1.9,76.5,68.5
S033,CSE,Female,5.8,86.6,99.4
S034,CSE,Male,5.4,81.0,79.7
S035,Mechanical,Male,3.9,73.3,65.2
S036,CSE,Male,2.4,74.8,69.9
S037,CSE,Male,5.1,85.0,71.3
S038,Mechanical,Female,4.0,90.8,67.1
S039,CSE,Female,5.4,86.9,88.0
S040,Civil,Female,5.0,89.9,77.8
